FIPS,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,05-08-2020,05-09-2020,05-10-2020,05-11-2020,05-12-2020,05-13-2020,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020
51550,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.75,0.825,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.675,0.675,1.0,1.0,1.0,1.0,0.825,0.75,0.575,0.825,1.0,1.0,1.0,0.825,0.675,0.825,0.675,1.0,1.0,1.0,0.825,0.825,0.825,1.0,1.0,1.0,0.825,1.0,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51680,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.675,0.675,0.825,0.825,0.825,0.75,0.675,0.575,0.675,0.575,0.675,0.575,0.575,0.575,0.5,0.5,0.5,0.675,0.575,0.575,0.575,0.575,0.575,0.425,0.675,0.675,0.675,0.575,0.575,0.5,0.5,0.575,0.575,0.575,0.5,0.5,0.5,0.575,0.75,0.825,0.825,0.825,0.75,0.5,0.575,0.675,0.825,0.825,0.675,0.675,0.825,0.825,0.825,0.75,0.825,0.75,0.75,0.825,0.825,0.825,0.825,0.825,0.675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,1.0,0.825,1.0,0.8108108108108107,1.0,0.8108108108108107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.825,1.0,1.0,0.825,0.825,0.825,0.825,0.75,1.0,1.0,1.0,1.0,1.0,0.675,0.675,0.825,1.0,0.825,0.825,0.825,0.75,0.5,0.825,1.0,1.0,0.825,0.825,0.675,0.75,0.75,1.0,0.825,0.825,1.0,0.75,0.825,1.0,1.0,1.0,1.0,1.0,0.75,0.675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.8108108108108107,0.8108108108108107,0.825,0.8108108108108107,0.675,0.325,0.175,0.25,0.5,0.5,0.5,0.175,0.25,0.175,0.175,0.175,0.325,0.25,0.175,0.175,0.175,0.175,0.175,0.25,0.175,0.175,0.175,0.175,0.07500000000000001,0.175,0.25,0.175,0.175,0.175,0.175,0.175,0.175,0.25,0.325,0.325,0.325,0.5,0.25,0.325,0.5,0.425,0.5,0.25,0.25,0.25,0.325,0.675,0.675,0.675,0.5,0.5,0.5,0.5,0.5,0.575,0.575,0.675,0.5,0.75,0.75,0.825,0.825,0.825,0.825,0.825,0.825,0.75,0.825,0.825,0.825,0.825,0.7297297297297297,0.75,0.7297297297297297,0.8108108108108107,0.825,0.8108108108108107,0.825,0.825,0.825,0.825,0.825,0.8108108108108107,0.825,1.0,0.825,0.825,0.825,0.825,0.825,1.0,0.825,1.0,0.825,0.7297297297297297,0.825,0.825,0.825,0.825,0.825,0.825,0.75,0.825,0.8108108108108107,1.0,1.0,0.75,0.825,0.825,1.0,0.825,0.825,0.825,0.8108108108108107,0.825,0.825,0.825,0.8108108108108107,1.0,1.0,1.0,1.0,0.825,0.825,1.0,0.825,1.0,1.0,1.0,0.825
51760,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.675,0.675,0.575,0.825,0.75,0.675,0.75,0.575,0.5,0.575,0.825,0.675,0.675,0.675,0.575,0.5,0.5,0.75,0.675,0.575,0.675,0.5,0.5,0.425,0.575,0.575,0.5,0.5,0.5,0.5,0.5,0.5,0.575,0.5,0.5,0.5,0.5,0.425,0.675,0.675,0.75,0.75,0.575,0.5,0.5,0.75,0.675,0.75,0.675,0.575,0.575,0.675,0.825,0.675,0.75,0.75,0.75,0.75,0.675,0.75,0.75,0.825,0.75,0.75,0.675,0.675,0.825,0.825,0.825,0.75,1.0,0.7297297297297297,1.0,1.0,0.8108108108108107,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.675,0.575,0.675,0.75,0.675,0.675,0.575,0.5,0.425,0.5,0.575,0.575,0.575,0.5,0.5,0.425,0.425,0.575,0.575,0.5,0.5,0.575,0.575,0.325,0.675,0.5,0.425,0.425,0.5,0.5,0.425,0.5,0.5,0.425,0.5,0.5,0.5,0.575,0.675,0.675,0.675,0.675,0.675,0.5,0.5,0.75,0.825,0.75,0.825,0.825,1.0,1.0,0.825,0.825,0.825,0.825,0.825,0.75,0.825,0.825,0.825,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,0.825,1.0,0.6486486486486487,0.825,0.8108108108108107,0.8108108108108107,1.0,1.0,1.0,1.0,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51770,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.675,0.75,1.0,1.0,1.0,1.0,0.825,0.75,0.75,1.0,0.825,1.0,1.0,0.75,0.575,0.5,0.825,0.825,0.825,0.825,0.675,0.575,0.425,0.825,0.825,1.0,0.75,0.75,0.675,0.675,0.825,0.75,0.75,0.75,0.75,0.575,0.75,0.825,1.0,1.0,1.0,0.825,0.675,0.675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.675,0.675,1.0,0.825,0.825,0.575,0.575,0.5,0.575,0.675,0.75,0.75,0.675,0.675,0.5,0.5,0.675,0.675,0.75,0.675,0.675,0.575,0.5,0.75,0.675,0.675,0.575,0.675,0.5,0.5,0.575,0.5,0.675,0.825,0.75,0.75,0.75,0.825,0.825,0.825,0.75,0.825,0.575,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51810,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.675,0.75,1.0,1.0,1.0,1.0,0.75,0.675,0.825,1.0,1.0,0.825,0.75,0.75,0.575,0.575,0.75,0.75,0.75,0.75,0.75,0.675,0.425,0.75,1.0,0.75,0.825,0.825,0.575,0.75,0.675,0.825,0.75,0.75,0.825,0.75,0.825,0.825,1.0,1.0,0.825,0.825,0.825,0.75,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53073,1.0,1.0,1.0,1.0,1.0,1.0,0.7666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.8108108108108107,1.0,1.0,1.0,0.825,0.75,0.675,0.6486486486486487,0.7297297297297297,0.75,0.7297297297297297,0.575,0.5,0.325,0.425,0.5,0.5,0.425,0.25,0.25,0.25,0.07500000000000001,0.25,0.325,0.325,0.25,0.25,0.175,0.175,0.175,0.325,0.25,0.325,0.325,0.25,0.175,0.325,0.25,0.325,0.25,0.325,0.25,0.175,0.25,0.325,0.25,0.425,0.325,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.325,0.425,0.575,0.75,0.75,0.75,0.825,0.825,0.825,0.75,0.75,0.75,0.825,0.825,0.575,0.675,0.75,0.75,0.75,0.75,0.825,0.75,0.75,0.75,0.75,0.825,0.75,0.825,0.4594594594594594,0.575,0.7297297297297297,0.6486486486486487,0.75,0.7297297297297297,0.825,0.75,0.675,0.75,0.75,0.7297297297297297,0.75,0.825,0.825,0.75,0.75,0.75,0.75,0.75,0.825,0.8108108108108107,0.75,0.7297297297297297,0.75,0.75,0.825,0.825,0.75,0.75,0.75,0.75,0.7297297297297297,0.825,0.825,0.675,0.75,0.75,0.825,0.75,0.75,0.75,0.7297297297297297,0.75,0.75,0.825,0.8108108108108107,0.75,0.825,0.825,0.75,0.825,0.825,0.75,0.825,0.825,0.825,0.75,0.825
51800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.825,0.825,0.825,0.825,1.0,1.0,1.0,0.75,0.825,0.825,0.825,0.825,0.825,0.75,0.75,0.825,0.825,0.825,0.825,1.0,0.825,0.575,0.825,0.825,0.825,0.825,1.0,0.75,0.825,0.825,1.0,1.0,1.0,1.0,0.825,1.0,1.0,1.0,1.0,0.75,0.825,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.8108108108108107,1.0,1.0,1.0,1.0,0.75,0.575,0.75,1.0,0.825,0.675,0.675,0.675,0.575,0.425,0.675,0.675,0.675,0.675,0.675,0.5,0.425,0.675,0.675,0.675,0.675,0.675,0.75,0.325,0.675,0.675,0.675,0.675,0.75,0.675,0.575,0.575,0.675,0.675,0.825,0.825,0.825,0.75,0.75,0.75,0.75,0.675,0.75,0.575,0.75,0.825,1.0,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,1.0,1.0,1.0,1.0,1.0,0.675,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.575,0.5,0.5,0.825,0.5,0.5,0.5,0.575,0.425,0.325,0.575,0.575,0.575,0.575,0.575,0.425,0.425,0.5,0.575,0.5,0.5,0.575,0.575,0.25,0.5,0.5,0.575,0.575,0.5,0.675,0.575,0.5,0.575,0.575,0.575,0.75,0.675,0.825,0.75,0.75,0.75,0.575,0.575,0.675,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.675,1.0,1.0,0.825,0.75,0.75,0.575,0.5,0.75,0.75,0.825,0.825,0.825,0.675,0.5,0.675,1.0,0.825,0.675,0.75,0.675,0.425,0.825,1.0,1.0,0.825,0.75,0.75,0.825,0.825,0.825,0.75,0.825,1.0,0.825,0.825,1.0,1.0,1.0,1.0,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.675,0.575,0.575,1.0,0.825,0.675,0.575,0.575,0.425,0.5,0.675,0.75,0.75,0.75,0.675,0.575,0.5,0.675,0.675,0.675,0.675,0.675,0.675,0.425,0.825,0.675,0.75,0.675,0.675,0.825,0.675,0.75,0.675,0.675,0.75,0.75,0.75,0.825,0.825,0.825,0.825,0.825,0.75,0.75,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56021,0.8108108108108107,0.7666666666666666,0.7407407407407407,1.0,1.0,1.0,0.7666666666666666,0.8108108108108107,0.8108108108108107,0.825,0.7666666666666666,0.7666666666666666,0.825,0.7297297297297297,0.825,0.825,0.7666666666666666,0.75,0.75,0.75,0.7297297297297297,0.8108108108108107,0.75,0.7297297297297297,0.675,0.575,0.675,0.75,0.75,0.75,0.75,0.75,0.675,0.675,0.75,0.75,0.75,0.75,0.575,0.75,0.675,0.675,0.75,0.675,0.75,0.75,0.75,0.75,0.325,0.575,0.675,0.75,0.425,0.575,0.575,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.675,0.75,0.75,0.75,0.75,0.75,0.675,0.75,0.75,0.825,0.825,0.825,1.0,0.825,0.75,0.75,0.75,0.825,0.825,0.825,0.825,0.75,0.825,0.75,0.825,0.825,1.0,0.825,0.825,0.825,0.825,0.825,1.0,0.8108108108108107,0.75,0.8108108108108107,0.7297297297297297,0.825,0.7297297297297297,0.825,0.825,0.75,0.75,0.75,0.7297297297297297,0.75,0.825,1.0,0.825,0.75,0.75,0.75,0.75,0.825,1.0,0.825,0.8108108108108107,0.75,0.75,0.825,0.825,0.825,0.825,0.75,0.75,0.8108108108108107,0.825,0.825,0.75,0.75,0.75,0.825,0.75,0.75,0.825,0.8108108108108107,0.75,0.75,0.825,0.7297297297297297,0.75,0.825,0.825,0.75,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.75
42069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.575,0.425,0.5,0.5,0.75,0.675,0.675,0.675,0.425,0.425,0.575,0.575,0.575,0.575,0.5,0.425,0.425,0.5,0.575,0.425,0.5,0.5,0.5,0.25,0.5,0.575,0.575,0.575,0.575,0.5,0.425,0.5,0.675,0.575,0.575,0.575,0.5,0.425,0.75,0.825,0.75,0.75,0.675,0.575,0.575,0.75,1.0,0.825,1.0,0.825,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7297297297297297,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.75,0.575,0.75,0.825,0.825,0.75,0.75,0.75,0.675,0.5,0.675,0.825,0.675,0.675,0.675,0.5,0.5,0.675,0.75,0.675,0.575,0.675,0.675,0.325,0.5,1.0,0.75,0.75,0.825,0.5,0.75,0.675,0.675,0.675,0.75,0.675,0.75,0.675,0.75,1.0,0.825,0.825,0.825,0.75,0.75,0.825,1.0,1.0,1.0,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.825,0.75,1.0,0.825,1.0,1.0,0.825,0.825,0.75,0.825,1.0,1.0,0.75,0.825,0.675,0.675,0.75,0.75,0.75,0.675,0.675,0.675,0.325,0.825,0.825,0.825,0.825,0.75,0.675,0.675,0.75,1.0,0.825,0.75,0.75,0.825,0.825,1.0,1.0,1.0,1.0,1.0,0.825,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46103,1.0,0.7666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825,0.825,0.675,0.7297297297297297,0.7297297297297297,0.75,0.7297297297297297,0.675,0.575,0.575,0.75,0.75,0.675,0.675,0.575,0.5,0.325,0.5,0.675,0.675,0.675,0.175,0.425,0.325,0.425,0.575,0.675,0.575,0.575,0.5,0.25,0.07500000000000001,0.5,0.425,0.5,0.425,0.325,0.425,0.175,0.425,0.575,0.5,0.675,0.575,0.575,0.575,0.675,0.675,0.675,0.675,0.575,0.325,0.575,0.75,0.75,0.75,0.75,1.0,0.825,0.825,0.825,0.75,0.75,0.825,1.0,1.0,0.825,0.825,0.825,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8108108108108107,0.825,1.0,0.8108108108108107,1.0,1.0,1.0,1.0,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
